trial_type.control_moving_bars	trial_type.fixation_cross	trial_type.instruction	trial_type.rating	trial_type.watch_moving_bars	trial_type.watch_static_bars	rating	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	intercept
2.0557502683074456e-15	-0.0483187982206966	-0.0514255289173054	-8.831738751802625e-16	5.0661859942028366e-08	1.0997440679602422	4.197929003455493e-16	-0.3577905132313662	0.0255128675444094	0.0006509064103382	0.1280140513583617	0.2219009354735995	-0.0646336124012245	0.0041775038520309	0.0492400251640576	-0.1048196052260971	-0.0089827294019506	8.068942750767517e-05	0.0109871496397533	0.0003033027029057	-0.0009010593092185	8.119078782024268e-07	9.199252867962813e-08	0.0035508980376675	0.0004031848859843	1.6255805394416126e-07	1.2608876872652257e-05	-0.0041120664938046	0.0005588561040624	3.123201459289505e-07	1.6909090849380343e-05	-0.0047611034999989	-0.0616514914000019	0.0141723634000011	0.0594880434000025	-0.0232533674000002	-0.0559383566000017	0.031792502400001	0.0510851487000008	-0.0395907828000011	1
1.678009504254483e-15	-0.0328261573697983	-0.0437224779583062	2.311777237615348e-15	-1.5669640197860086e-08	1.0765492699750807	4.2493237867716743e-16	-0.3393785988967888	0.0184119143345805	0.0003389985894638	0.1151778333891437	0.1769411104974942	-0.0449598249761033	0.0020213858618805	0.0313081565840867	-0.0229631938145439	0.0818564114115536	0.0067004720891798	0.0005273082701673	-0.0004659201786802	-0.0007692228815854	5.917038390182371e-07	2.1708161273369534e-07	0.0034388400945779	-0.0001120579430895	1.2556982226677773e-08	1.1825621193835704e-05	-0.0035382124020826	0.0005738540917207	3.293085197891143e-07	1.251894700005845e-05	-0.0051411591000022	-0.0615308273000023	0.0152837838000008	0.0590114774000018	-0.0250111237000007	-0.0548886912000014	0.0340588713000011	0.0492744916000005	-0.0421811849000013	1
1.1506683755410772e-15	-0.0214353449753841	-0.0343234675601515	3.463829375746776e-15	4.345021541938256e-09	1.0557571086852853	3.6538557137973243e-16	-0.3767219603345517	-0.0373433614377667	0.0013945266434747	0.1419194353983053	0.2409898623387365	0.064048751841243	0.0041022426124206	0.0580761137500412	-0.089914915160533	-0.0669517213459903	0.0044825329911917	0.0080846919683246	-0.0001808746733974	0.0002850455052809	8.12509388146352e-08	3.2715647984568284e-08	0.0037808595908331	0.000342019496258	1.1697733659895385e-07	1.4294899245046936e-05	-0.0037701790723199	-0.000231966670237	5.380853530963298e-08	1.4214250234620978e-05	-0.0055210227000012	-0.0614009688000011	0.0163900657000005	0.0584996411000018	-0.0267455232000006	-0.0537652167000012	0.0362629049000014	0.0473460497000006	-0.0446439820000013	1
2.0662290914522296e-15	-0.0132666940418615	-0.0252306308108989	4.606576923896454e-16	-1.0192367296380706e-09	1.0385014334098022	7.650743455060751e-16	-0.3562696854937305	0.0204522748408229	0.000418295546164	0.1269280888017988	0.2278449204848843	-0.0131449418538519	0.0001727894963396	0.0519133077907627	-0.0743570455039997	0.0155578696565331	0.000242047308249	0.0055289702160839	-0.000659553988425	-0.0004786793150263	2.291338861496305e-07	4.350114648989161e-07	0.0039810070412896	0.0002001474504553	4.0059001676753694e-08	1.5848417065628864e-05	-0.0029892016581279	0.0007809774141891	6.099257234461809e-07	8.935326548693608e-06	-0.0059006800000001	-0.0612619354000017	0.0174908373000009	0.0579528405000021	-0.0284549463000006	-0.0525694438000014	0.0384005694000012	0.0453044327000005	-0.0469717237000013	1
1.6894795707136019e-15	-0.0081643391104224	-0.0175298108370566	2.328232836044577e-15	7.399476178939116e-11	1.0256917425068184	4.650416998269324e-16	-0.375906321270494	-0.019636635776764	0.0003855974646301	0.1413055623711137	0.168218343663453	-0.059626576821429	0.0035553286634412	0.0282974111448752	-0.0573173550096565	0.0170396904943433	0.0002903510521424	0.0032852791853041	-0.0001032480429419	0.0005563059454825	3.094763047447004e-07	1.0660158225351536e-08	0.0039797132973242	-1.2937439646958662e-06	1.6727957691720876e-12	1.5838117930277268e-05	-0.0036448169946665	-0.0006556153365409	4.2983147152924537e-07	1.3284690921467946e-05	-0.0062801168000014	-0.061113747800001	0.0185857283000005	0.0573714025000015	-0.0301377965000009	-0.0513029804000013	0.0404679524000015	0.0431545209000003	-0.0491573682000015	1
1.781480267241612e-15	0.0086847390801889	-0.0115899250210555	1.6138654875343785e-15	2.2771568346886948e-10	1.003231386579378	9.211111833993924e-16	-0.3869085790248926	-0.0110022577543998	0.0001210496756951	0.1496982485230596	0.2640821680200814	0.0958638243566291	0.0091898728202787	0.0697393914661853	-0.0923600162183633	-0.0350426612087076	0.001227988104588	0.0085303725958554	-0.0006903179402447	-0.0005870698973037	3.446510639803823e-07	4.765388611029279e-07	0.0040238422712135	4.412897388891533e-05	1.947365141467924e-09	1.6191306625932057e-05	-0.0038206370760549	-0.0001758200813881	3.091270202862544e-08	1.4597267663968276e-05	-0.0066593191000001	-0.0609564282000004	0.0196743707000005	0.0567556744000016	-0.0317925024000008	-0.0499675296000012	0.0424612702000016	0.0409014535000005	-0.0511943036000016	1
2.1910656652709725e-15	0.1074342455671873	-0.0073328631854374	5.183660978317861e-17	-5.327216208571017e-10	0.901162286568507	8.809230271523198e-16	-0.3991263184911289	-0.0122177394662381	0.0001492731576651	0.1593018181122814	0.3209005883827007	0.0568184203626179	0.0032283328925018	0.1029771876243632	-0.1042902154433547	-0.0119301992249922	0.0001423296535472	0.0108764490372199	5.005107914230851e-05	0.0007403690193891	5.481462852346722e-07	2.505109585030589e-09	0.0040979225759105	7.408030469677262e-05	5.487891211854463e-09	1.6792969442368224e-05	-0.0044171365603194	-0.0005964994842652	3.558116372213411e-07	1.951109539152621e-05	-0.0070382725999988	-0.0607900001000005	0.0207563984000006	0.056106024400002	-0.0334175187000007	-0.048564887200001	0.0443768745000016	0.0385506160000008	-0.0530763678000017	1
2.4276537199530837e-15	0.3201717696853612	-0.0044587468771842	-2.370973706744133e-16	1.2364759099593154e-09	0.6862906278317268	1.3085757900348213e-15	-0.4063828131048996	-0.0072564946137702	5.265671407929797e-05	0.1651469907870515	0.2099008027473987	-0.1109997856353018	0.0123209524110835	0.0440583469940014	-0.1036992232345282	0.0005909922088273	3.492717899387189e-07	0.0107535288994438	-0.0002019752990633	-0.0002520263782051	6.351729427653817e-08	4.079402186461564e-08	0.0037809544758769	-0.0003169681000343	1.0046877760251941e-07	1.4295616748811682e-05	-0.0042461429985496	0.0001709935617704	2.9238798408953704e-08	1.802973036144588e-05	-0.0074169630999989	-0.0606144883000003	0.0218314478000006	0.0554228406000016	-0.035011327900001	-0.0470969393000013	0.0462112593000016	0.0361076278000006	-0.0547978673000018	1
2.835934077677812e-15	0.5810651180402097	-0.0026164448583103	-1.4272976199601629e-15	-2.9529789395711103e-09	0.4235928046682921	1.873733769070691e-15	-0.3965303931818214	0.0098524199230784	9.707017834059196e-05	0.1572363527169289	0.3812368652460107	0.1713360624986131	0.029356046312531	0.1453415474226067	-0.1192198770366266	-0.015520653802099	0.000240890694444	0.0142133790806265	0.0002777876534657	0.0004797629525298	2.3017248963819658e-07	7.716597966255786e-08	0.0039009341867827	0.0001199797109054	1.4395131168368084e-08	1.521728753133642e-05	-0.0042480721558758	-1.929157327009261e-06	3.7215463564391975e-12	1.8046117039505017e-05	-0.0077953765999985	-0.0604299192000007	0.0228991574000004	0.054706531500002	-0.0365724416000009	-0.0455656598000011	0.0479610673000014	0.0335783288000011	-0.0563535941000019	1
2.2725371546548573e-15	0.8123530953056033	-0.0014846272001701	2.347896302471113e-16	6.968575840361829e-09	0.1907347198053204	2.1810762311172888e-15	-0.4088202601155483	-0.0122898669337276	0.0001510408292485	0.1671340050809448	0.269379777548937	-0.1118570876970774	0.0125120080680716	0.0725654645523136	-0.0899121165761712	0.0293077604604551	0.0008589448232067	0.0080841887072072	0.0002161146525438	-6.167300092066599e-05	3.803558061508538e-09	4.670554250930234e-08	0.0038335693078897	-6.73648788930428e-05	4.5380269705946864e-09	1.4696253639689998e-05	-0.0042329424808525	1.5129675023028536e-05	2.2890666755645904e-10	1.7917802043490516e-05	-0.0081734988999993	-0.0602363202000009	0.0239591681000007	0.0539575252000019	-0.0380994018000012	-0.0439731079000012	0.0496230961000014	0.030968764700001	-0.0577388421000019	1
2.8390605875579335e-15	0.978049536197279	-0.000821625281744	-6.629181486414275e-16	-1.5972335364650092e-08	0.0238198111386959	2.608828386582261e-15	-0.3969781450553159	0.0118421150602339	0.000140235689099	0.1575916476515584	0.2843742281650926	0.0149944506161573	0.0002248335492789	0.0808687016444915	-0.1241893021900184	-0.034277185613847	0.0011749254536054	0.0154229827784426	0.0003590411860192	0.0001429265334754	2.042799337166993e-08	1.289105732346327e-07	0.0037242950334911	-0.0001092742743986	1.1940866640067873e-08	1.3870373496963728e-05	-0.0040476933165556	0.0001852491642966	3.4317253060383033e-08	1.638382118202198e-05	-0.0085513157999991	-0.0600337202000011	0.0250111237000008	0.0531762693000019	-0.0395907828000014	-0.0423214252000014	0.0511943036000015	0.0282851736000009	-0.058949420600002	1
2.8662363640227454e-15	1.0783626678561686	-0.0004152211618757	-5.654489191185756e-16	3.49732310026207e-08	-0.0773686724521557	2.8433207117613604e-15	-0.4151601765235294	-0.0181820314682156	0.0003305862683116	0.1723579721710487	0.2821008280617863	-0.0022734001033055	5.168348028287834e-06	0.079580877193145	-0.1367730469932991	-0.0125837448032799	0.0001583506332728	0.01870686638383	0.0014799676443186	0.0011209264583	1.2564761258047938e-06	2.190304226680158e-06	0.0036496011401021	-7.469389338863588e-05	5.579176941361593e-09	1.3319588481415232e-05	-0.0046352368437944	-0.0005875435272391	3.452073982977036e-07	2.1485420597308052e-05	-0.0089288132999984	-0.059822149700001	0.0260546704000006	0.0523632308000017	-0.0410451916000014	-0.0406128325000012	0.0526718143000016	0.025533970100001	-0.0599816674000021	1
